7 Faces of Dr. Lao,1964
7th Heaven,1927
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005
The Chubbchubbs!,2002
"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1991
Ersatz,1961
Here Comes Mr. Jordan,1941
I Am a Promise: The Children of Stanton Elementary School,1993
